Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname,Estado_Origem_Viagem,Estado_Destino_Viagem,Estado_Deduzido
1752241919,2025-07-11 10:51:59,4,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,170.79.214.89,bpe1-cpe1.bkb.rnp.br,PB,PE,
1752241919,2025-07-11 10:51:59,5,170.79.214.89,bpe1-cpe1.bkb.rnp.br,200.133.31.237,No-Hostname,PB,PE,PE
1752241919,2025-07-11 10:51:59,6,200.133.31.237,No-Hostname,200.133.0.53,monipe-pe-atraso.rnp.br,PB,PE,PE
1752242425,2025-07-11 11:00:25,1,200.129.75.254,gateway,192.168.75.1,No-Hostname,PB,PE,PB
1752242425,2025-07-11 11:00:25,2,192.168.75.1,No-Hostname,170.79.214.20,cpb1-bpb1.bkb.rnp.br,PB,PE,PB
1752242425,2025-07-11 11:00:25,3,170.79.214.20,cpb1-bpb1.bkb.rnp.br,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,PB,PE,
1752242425,2025-07-11 11:00:25,4,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,170.79.214.89,bpe1-cpe1.bkb.rnp.br,PB,PE,
1752242425,2025-07-11 11:00:25,5,170.79.214.89,bpe1-cpe1.bkb.rnp.br,200.133.31.237,No-Hostname,PB,PE,PE
1752242425,2025-07-11 11:00:25,6,200.133.31.237,No-Hostname,200.133.0.53,monipe-pe-atraso.rnp.br,PB,PE,PE
1752243075,2025-07-11 11:11:15,1,200.129.75.254,gateway,192.168.75.1,No-Hostname,PB,PE,PB
1752243075,2025-07-11 11:11:15,2,192.168.75.1,No-Hostname,170.79.214.20,cpb1-bpb1.bkb.rnp.br,PB,PE,PB
1752243075,2025-07-11 11:11:15,3,170.79.214.20,cpb1-bpb1.bkb.rnp.br,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,PB,PE,
1752243075,2025-07-11 11:11:15,4,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,170.79.214.89,bpe1-cpe1.bkb.rnp.br,PB,PE,
1752243075,2025-07-11 11:11:15,5,170.79.214.89,bpe1-cpe1.bkb.rnp.br,200.133.31.237,No-Hostname,PB,PE,PE
1752243075,2025-07-11 11:11:15,6,200.133.31.237,No-Hostname,200.133.0.53,monipe-pe-atraso.rnp.br,PB,PE,PE
1752243993,2025-07-11 11:26:33,1,200.129.75.254,gateway,192.168.75.1,No-Hostname,PB,PE,PB
1752243993,2025-07-11 11:26:33,2,192.168.75.1,No-Hostname,170.79.214.20,cpb1-bpb1.bkb.rnp.br,PB,PE,PB
1752243993,2025-07-11 11:26:33,3,170.79.214.20,cpb1-bpb1.bkb.rnp.br,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,PB,PE,
1752243993,2025-07-11 11:26:33,4,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,170.79.214.89,bpe1-cpe1.bkb.rnp.br,PB,PE,
1752243993,2025-07-11 11:26:33,5,170.79.214.89,bpe1-cpe1.bkb.rnp.br,200.133.31.237,No-Hostname,PB,PE,PE
1752243993,2025-07-11 11:26:33,6,200.133.31.237,No-Hostname,200.133.0.53,monipe-pe-atraso.rnp.br,PB,PE,PE
1752244491,2025-07-11 11:34:51,1,200.129.75.254,gateway,192.168.75.1,No-Hostname,PB,PE,PB
